# Digitized from Liu et al. (2024), Nonlinear Dynamics 112:21701-21728,
# Fig. 11 (p. 21717). NOT the authors' data: these values were recovered
# from the published raster by color-keyed pixel extraction and carry a
# reading uncertainty of roughly two pixels. Per-panel pixel resolution:
#   panel a (x_R): 0.03429 m / px
#   panel b (y_ddot_L): 0.4762 m/s^2 / px
#   panel c (gamma_dot): 0.2353 deg/s / px
# Quote to no more than two significant figures.
panel,quantity,unit,series,t_s,value
b,y_ddot_L,m/s^2,liu,0.295312,-4.761905

b,y_ddot_L,m/s^2,liu,0.297656,7.142857

b,y_ddot_L,m/s^2,liu,0.297656,2.857143

b,y_ddot_L,m/s^2,liu,0.297656,-1.904762

b,y_ddot_L,m/s^2,liu,0.3,4.52381

b,y_ddot_L,m/s^2,liu,0.302344,7.142857

b,y_ddot_L,m/s^2,liu,0.302344,4.761905

b,y_ddot_L,m/s^2,liu,0.302344,1.428571

b,y_ddot_L,m/s^2,liu,0.302344,-1.666667

b,y_ddot_L,m/s^2,liu,0.302344,-4.761905

b,y_ddot_L,m/s^2,liu,0.304688,-1.904762

b,y_ddot_L,m/s^2,liu,0.304688,-5.0

b,y_ddot_L,m/s^2,liu,0.307031,-5.47619

b,y_ddot_L,m/s^2,liu,0.314062,-5.47619

b,y_ddot_L,m/s^2,liu,0.316406,-5.47619

b,y_ddot_L,m/s^2,liu,0.31875,-5.47619

b,y_ddot_L,m/s^2,liu,0.321094,-5.47619

b,y_ddot_L,m/s^2,liu,0.323437,-5.47619

b,y_ddot_L,m/s^2,liu,0.328125,-5.238095

b,y_ddot_L,m/s^2,liu,0.330469,-1.904762

b,y_ddot_L,m/s^2,liu,0.330469,-4.761905

b,y_ddot_L,m/s^2,liu,0.332813,-1.904762

c,gamma_dot,deg/s,adams,-0.001172,0.117647

c,gamma_dot,deg/s,adams,0.012891,0.0

c,gamma_dot,deg/s,adams,0.015234,0.0

c,gamma_dot,deg/s,adams,0.022266,-0.823529

c,gamma_dot,deg/s,adams,0.022266,-2.470588

c,gamma_dot,deg/s,adams,0.024609,-2.470588

c,gamma_dot,deg/s,adams,0.024609,-4.0

c,gamma_dot,deg/s,adams,0.026953,-4.117647

c,gamma_dot,deg/s,adams,0.029297,-4.352941

c,gamma_dot,deg/s,adams,0.033984,-2.941176

c,gamma_dot,deg/s,adams,0.045703,-2.470588

c,gamma_dot,deg/s,adams,0.048047,-0.823529

c,gamma_dot,deg/s,adams,0.050391,0.823529

c,gamma_dot,deg/s,adams,0.055078,2.0

c,gamma_dot,deg/s,adams,0.057422,2.117647

c,gamma_dot,deg/s,adams,0.059766,3.647059

c,gamma_dot,deg/s,adams,0.062109,3.647059

c,gamma_dot,deg/s,adams,0.066797,4.823529

c,gamma_dot,deg/s,adams,0.069141,4.823529

c,gamma_dot,deg/s,adams,0.078516,4.235294

c,gamma_dot,deg/s,adams,0.078516,2.588235

c,gamma_dot,deg/s,adams,0.080859,2.588235

c,gamma_dot,deg/s,adams,0.080859,0.941176

c,gamma_dot,deg/s,adams,0.080859,-0.588235

c,gamma_dot,deg/s,adams,0.083203,-0.588235

c,gamma_dot,deg/s,adams,0.083203,-2.235294

c,gamma_dot,deg/s,adams,0.083203,-3.882353

c,gamma_dot,deg/s,adams,0.099609,-3.882353

c,gamma_dot,deg/s,adams,0.101953,-3.882353

c,gamma_dot,deg/s,adams,0.106641,-2.470588

c,gamma_dot,deg/s,adams,0.111328,-0.941176

c,gamma_dot,deg/s,adams,0.113672,-0.823529

c,gamma_dot,deg/s,adams,0.118359,0.352941

c,gamma_dot,deg/s,adams,0.120703,1.882353

c,gamma_dot,deg/s,adams,0.123047,2.117647

c,gamma_dot,deg/s,adams,0.125391,2.235294

c,gamma_dot,deg/s,adams,0.127734,2.235294

c,gamma_dot,deg/s,adams,0.132422,2.705882

c,gamma_dot,deg/s,adams,0.134766,2.705882

c,gamma_dot,deg/s,adams,0.137109,4.352941

c,gamma_dot,deg/s,adams,0.139453,4.352941

c,gamma_dot,deg/s,adams,0.141797,5.529412

c,gamma_dot,deg/s,adams,0.144141,4.823529

c,gamma_dot,deg/s,adams,0.144141,3.176471

c,gamma_dot,deg/s,adams,0.146484,3.176471

c,gamma_dot,deg/s,adams,0.146484,1.058824

c,gamma_dot,deg/s,adams,0.148828,0.352941

c,gamma_dot,deg/s,adams,0.151172,0.117647

c,gamma_dot,deg/s,adams,0.153516,0.117647

c,gamma_dot,deg/s,adams,0.155859,0.235294

c,gamma_dot,deg/s,adams,0.158203,0.235294

c,gamma_dot,deg/s,adams,0.160547,-0.117647

c,gamma_dot,deg/s,adams,0.162891,-0.470588

c,gamma_dot,deg/s,adams,0.165234,-1.176471

c,gamma_dot,deg/s,adams,0.167578,-1.411765

c,gamma_dot,deg/s,adams,0.169922,-1.529412

c,gamma_dot,deg/s,adams,0.172266,-1.411765

c,gamma_dot,deg/s,adams,0.174609,-1.294118

c,gamma_dot,deg/s,adams,0.176953,-1.294118

c,gamma_dot,deg/s,adams,0.179297,-1.176471

c,gamma_dot,deg/s,adams,0.181641,-1.058824

c,gamma_dot,deg/s,adams,0.183984,-0.823529

c,gamma_dot,deg/s,adams,0.186328,0.117647

c,gamma_dot,deg/s,adams,0.188672,0.117647

c,gamma_dot,deg/s,adams,0.191016,0.235294

c,gamma_dot,deg/s,adams,0.193359,-0.235294

c,gamma_dot,deg/s,adams,0.195703,-0.823529

c,gamma_dot,deg/s,adams,0.198047,-0.941176

c,gamma_dot,deg/s,adams,0.200391,-1.058824

c,gamma_dot,deg/s,adams,0.202734,-1.647059

c,gamma_dot,deg/s,adams,0.205078,-2.470588

c,gamma_dot,deg/s,adams,0.207422,-2.235294

c,gamma_dot,deg/s,adams,0.212109,-0.941176

c,gamma_dot,deg/s,adams,0.214453,-0.588235

c,gamma_dot,deg/s,adams,0.216797,-0.117647

c,gamma_dot,deg/s,adams,0.219141,0.235294

c,gamma_dot,deg/s,adams,0.221484,0.352941

c,gamma_dot,deg/s,adams,0.223828,0.470588

c,gamma_dot,deg/s,adams,0.226172,0.470588

c,gamma_dot,deg/s,adams,0.228516,0.823529

c,gamma_dot,deg/s,adams,0.230859,1.294118

c,gamma_dot,deg/s,adams,0.233203,1.529412

c,gamma_dot,deg/s,adams,0.237891,2.588235

c,gamma_dot,deg/s,adams,0.240234,2.470588

c,gamma_dot,deg/s,adams,0.247266,2.588235

c,gamma_dot,deg/s,adams,0.249609,2.0

c,gamma_dot,deg/s,adams,0.251953,0.941176

c,gamma_dot,deg/s,adams,0.254297,-0.235294

c,gamma_dot,deg/s,adams,0.256641,-0.941176

c,gamma_dot,deg/s,adams,0.258984,-1.764706

c,gamma_dot,deg/s,adams,0.261328,-2.666667

c,gamma_dot,deg/s,adams,0.263672,-3.529412

c,gamma_dot,deg/s,adams,0.266016,-3.647059

c,gamma_dot,deg/s,adams,0.268359,-3.647059

c,gamma_dot,deg/s,adams,0.275391,-3.764706

c,gamma_dot,deg/s,adams,0.277734,-3.764706

c,gamma_dot,deg/s,adams,0.280078,-3.764706

c,gamma_dot,deg/s,adams,0.282422,-3.764706

c,gamma_dot,deg/s,adams,0.284766,-3.764706

c,gamma_dot,deg/s,adams,0.287109,-4.235294

c,gamma_dot,deg/s,adams,0.289453,-4.588235

c,gamma_dot,deg/s,adams,0.289453,-5.764706

c,gamma_dot,deg/s,adams,0.291797,-6.117647

c,gamma_dot,deg/s,adams,0.294141,-6.470588

c,gamma_dot,deg/s,adams,0.296484,-6.470588

c,gamma_dot,deg/s,adams,0.298828,-6.588235

c,gamma_dot,deg/s,adams,0.298828,-8.117647

c,gamma_dot,deg/s,adams,0.301172,-8.117647

c,gamma_dot,deg/s,adams,0.303516,-9.647059

c,gamma_dot,deg/s,adams,0.305859,-9.647059

c,gamma_dot,deg/s,adams,0.308203,-9.647059

c,gamma_dot,deg/s,adams,0.310547,-9.647059

c,gamma_dot,deg/s,adams,0.312891,-9.647059

c,gamma_dot,deg/s,adams,0.315234,-9.647059

c,gamma_dot,deg/s,adams,0.317578,-9.647059

c,gamma_dot,deg/s,adams,0.319922,-9.764706

c,gamma_dot,deg/s,adams,0.322266,-10.823529

c,gamma_dot,deg/s,adams,0.324609,-11.529412

c,gamma_dot,deg/s,adams,0.324609,-12.941176

c,gamma_dot,deg/s,adams,0.326953,-13.529412

c,gamma_dot,deg/s,adams,0.329297,-14.235294

c,gamma_dot,deg/s,adams,0.331641,-14.941176

c,gamma_dot,deg/s,liu,0.001172,0.0

c,gamma_dot,deg/s,liu,0.003516,0.0

c,gamma_dot,deg/s,liu,0.005859,0.0

c,gamma_dot,deg/s,liu,0.008203,0.0

c,gamma_dot,deg/s,liu,0.010547,0.0

c,gamma_dot,deg/s,liu,0.017578,0.0

c,gamma_dot,deg/s,liu,0.019922,0.0

c,gamma_dot,deg/s,liu,0.022266,-0.235294

c,gamma_dot,deg/s,liu,0.022266,-1.647059

c,gamma_dot,deg/s,liu,0.024609,-1.647059

c,gamma_dot,deg/s,liu,0.024609,-3.176471

c,gamma_dot,deg/s,liu,0.024609,-4.588235

c,gamma_dot,deg/s,liu,0.026953,-4.823529

c,gamma_dot,deg/s,liu,0.029297,-3.647059

c,gamma_dot,deg/s,liu,0.031641,-3.411765

c,gamma_dot,deg/s,liu,0.038672,-2.941176

c,gamma_dot,deg/s,liu,0.041016,-2.941176

c,gamma_dot,deg/s,liu,0.043359,-2.823529

c,gamma_dot,deg/s,liu,0.045703,-1.647059

c,gamma_dot,deg/s,liu,0.045703,-2.823529

c,gamma_dot,deg/s,liu,0.048047,0.0

c,gamma_dot,deg/s,liu,0.048047,-1.647059

c,gamma_dot,deg/s,liu,0.050391,1.176471

c,gamma_dot,deg/s,liu,0.050391,0.352941

c,gamma_dot,deg/s,liu,0.052734,1.176471

c,gamma_dot,deg/s,liu,0.055078,1.529412

c,gamma_dot,deg/s,liu,0.057422,2.823529

c,gamma_dot,deg/s,liu,0.059766,4.235294

c,gamma_dot,deg/s,liu,0.059766,3.176471

c,gamma_dot,deg/s,liu,0.062109,4.470588

c,gamma_dot,deg/s,liu,0.064453,4.705882

c,gamma_dot,deg/s,liu,0.071484,4.941176

c,gamma_dot,deg/s,liu,0.073828,4.941176

c,gamma_dot,deg/s,liu,0.076172,4.705882

c,gamma_dot,deg/s,liu,0.078516,4.705882

c,gamma_dot,deg/s,liu,0.078516,3.411765

c,gamma_dot,deg/s,liu,0.078516,1.764706

c,gamma_dot,deg/s,liu,0.078516,0.470588

c,gamma_dot,deg/s,liu,0.080859,1.764706

c,gamma_dot,deg/s,liu,0.080859,0.117647

c,gamma_dot,deg/s,liu,0.080859,-1.411765

c,gamma_dot,deg/s,liu,0.080859,-3.058824

c,gamma_dot,deg/s,liu,0.083203,-1.764706

c,gamma_dot,deg/s,liu,0.083203,-3.058824

c,gamma_dot,deg/s,liu,0.087891,-3.764706

c,gamma_dot,deg/s,liu,0.090234,-3.764706

c,gamma_dot,deg/s,liu,0.092578,-3.764706

c,gamma_dot,deg/s,liu,0.094922,-3.764706

c,gamma_dot,deg/s,liu,0.101953,-3.529412

c,gamma_dot,deg/s,liu,0.104297,-3.294118

c,gamma_dot,deg/s,liu,0.106641,-1.882353

c,gamma_dot,deg/s,liu,0.106641,-2.941176

c,gamma_dot,deg/s,liu,0.108984,-1.647059

c,gamma_dot,deg/s,liu,0.111328,-0.588235

c,gamma_dot,deg/s,liu,0.113672,-0.470588

c,gamma_dot,deg/s,liu,0.116016,-0.352941

c,gamma_dot,deg/s,liu,0.118359,-0.235294

c,gamma_dot,deg/s,liu,0.120703,1.058824

c,gamma_dot,deg/s,liu,0.123047,1.411765

c,gamma_dot,deg/s,liu,0.125391,1.882353

c,gamma_dot,deg/s,liu,0.127734,2.0

c,gamma_dot,deg/s,liu,0.130078,2.117647

c,gamma_dot,deg/s,liu,0.132422,2.352941

c,gamma_dot,deg/s,liu,0.134766,3.294118

c,gamma_dot,deg/s,liu,0.137109,3.529412

c,gamma_dot,deg/s,liu,0.139453,4.823529

c,gamma_dot,deg/s,liu,0.139453,3.882353

c,gamma_dot,deg/s,liu,0.141797,5.058824

c,gamma_dot,deg/s,liu,0.144141,4.0

c,gamma_dot,deg/s,liu,0.146484,3.647059

c,gamma_dot,deg/s,liu,0.146484,2.352941

c,gamma_dot,deg/s,liu,0.148828,1.058824

c,gamma_dot,deg/s,liu,0.151172,0.705882

c,gamma_dot,deg/s,liu,0.151172,-0.352941

c,gamma_dot,deg/s,liu,0.153516,-0.588235

c,gamma_dot,deg/s,liu,0.155859,-0.705882

c,gamma_dot,deg/s,liu,0.158203,-0.705882

c,gamma_dot,deg/s,liu,0.165234,-0.823529

c,gamma_dot,deg/s,liu,0.167578,-0.705882

c,gamma_dot,deg/s,liu,0.169922,-0.470588

c,gamma_dot,deg/s,liu,0.172266,-0.470588

c,gamma_dot,deg/s,liu,0.174609,-0.352941

c,gamma_dot,deg/s,liu,0.179297,-0.235294

c,gamma_dot,deg/s,liu,0.181641,-0.235294

c,gamma_dot,deg/s,liu,0.183984,-0.235294

c,gamma_dot,deg/s,liu,0.186328,-0.352941

c,gamma_dot,deg/s,liu,0.188672,-1.058824

c,gamma_dot,deg/s,liu,0.191016,-1.176471

c,gamma_dot,deg/s,liu,0.193359,-1.72549

c,gamma_dot,deg/s,liu,0.195703,-2.470588

c,gamma_dot,deg/s,liu,0.198047,-2.588235

c,gamma_dot,deg/s,liu,0.200391,-2.588235

c,gamma_dot,deg/s,liu,0.205078,-1.882353

c,gamma_dot,deg/s,liu,0.207422,-1.411765

c,gamma_dot,deg/s,liu,0.209766,-0.588235

c,gamma_dot,deg/s,liu,0.209766,-1.294118

c,gamma_dot,deg/s,liu,0.212109,-0.352941

c,gamma_dot,deg/s,liu,0.214453,0.117647

c,gamma_dot,deg/s,liu,0.219141,0.705882

c,gamma_dot,deg/s,liu,0.221484,0.941176

c,gamma_dot,deg/s,liu,0.223828,1.294118

c,gamma_dot,deg/s,liu,0.226172,1.529412

c,gamma_dot,deg/s,liu,0.228516,1.882353

c,gamma_dot,deg/s,liu,0.230859,1.882353

c,gamma_dot,deg/s,liu,0.233203,2.0

c,gamma_dot,deg/s,liu,0.235547,2.117647

c,gamma_dot,deg/s,liu,0.237891,2.235294

c,gamma_dot,deg/s,liu,0.240234,2.823529

c,gamma_dot,deg/s,liu,0.242578,2.470588

c,gamma_dot,deg/s,liu,0.242578,1.058824

c,gamma_dot,deg/s,liu,0.244922,2.117647

c,gamma_dot,deg/s,liu,0.244922,0.117647

c,gamma_dot,deg/s,liu,0.244922,-2.0

c,gamma_dot,deg/s,liu,0.247266,-1.529412

c,gamma_dot,deg/s,liu,0.249609,-2.588235

c,gamma_dot,deg/s,liu,0.254297,-2.823529

c,gamma_dot,deg/s,liu,0.256641,-2.823529

c,gamma_dot,deg/s,liu,0.258984,-2.941176

c,gamma_dot,deg/s,liu,0.261328,-2.941176

c,gamma_dot,deg/s,liu,0.263672,-2.941176

c,gamma_dot,deg/s,liu,0.268359,-3.294118

c,gamma_dot,deg/s,liu,0.270703,-3.647059

c,gamma_dot,deg/s,liu,0.273047,-3.882353

c,gamma_dot,deg/s,liu,0.273047,-4.941176

c,gamma_dot,deg/s,liu,0.275391,-5.058824

c,gamma_dot,deg/s,liu,0.277734,-5.176471

c,gamma_dot,deg/s,liu,0.282422,-5.058824

c,gamma_dot,deg/s,liu,0.284766,-4.941176

c,gamma_dot,deg/s,liu,0.287109,-5.058824

c,gamma_dot,deg/s,liu,0.289453,-5.058824

c,gamma_dot,deg/s,liu,0.291797,-4.941176

c,gamma_dot,deg/s,liu,0.296484,-5.529412

c,gamma_dot,deg/s,liu,0.298828,-5.764706

c,gamma_dot,deg/s,liu,0.298828,-7.294118

c,gamma_dot,deg/s,liu,0.298828,-8.823529

c,gamma_dot,deg/s,liu,0.301172,-7.294118

c,gamma_dot,deg/s,liu,0.301172,-9.764706

c,gamma_dot,deg/s,liu,0.301172,-11.764706

c,gamma_dot,deg/s,liu,0.303516,-10.588235

c,gamma_dot,deg/s,liu,0.303516,-12.0

c,gamma_dot,deg/s,liu,0.305859,-12.235294

c,gamma_dot,deg/s,liu,0.308203,-12.235294

c,gamma_dot,deg/s,liu,0.312891,-12.352941

c,gamma_dot,deg/s,liu,0.315234,-12.235294

c,gamma_dot,deg/s,liu,0.317578,-12.235294

c,gamma_dot,deg/s,liu,0.319922,-12.235294

c,gamma_dot,deg/s,liu,0.322266,-12.235294

c,gamma_dot,deg/s,liu,0.329297,-12.352941

c,gamma_dot,deg/s,liu,0.331641,-12.352941

